step,train_loss,probe_loss,curve_loss,lr,lr_multiplier,schedule,width,seed,base_lr
162,0.4467100203037262,,0.4467100203037262,0.0005067896383415433,0.5067896383415432,cosine,256,10,0.001
163,0.23024258017539978,,0.23024258017539978,0.0005020058559991959,0.5020058559991959,cosine,256,10,0.001
164,0.43268996477127075,,0.43268996477127075,0.0004972275537659192,0.4972275537659192,cosine,256,10,0.001
165,0.4738921523094177,,0.4738921523094177,0.0004924552772419723,0.49245527724197224,cosine,256,10,0.001
166,0.5129013657569885,,0.5129013657569885,0.0004876895713395816,0.4876895713395816,cosine,256,10,0.001
167,0.4572610855102539,,0.4572610855102539,0.00048293098022072144,0.48293098022072145,cosine,256,10,0.001
168,0.5400855541229248,,0.5400855541229248,0.0004781800472349794,0.4781800472349794,cosine,256,10,0.001
169,0.4508855938911438,,0.4508855938911438,0.0004734373148575154,0.4734373148575154,cosine,256,10,0.001
170,0.36645030975341797,0.763030543923378,0.763030543923378,0.0004687033246271206,0.4687033246271206,cosine,256,10,0.001
171,0.3773401975631714,,0.3773401975631714,0.0004639786170843826,0.4639786170843826,cosine,256,10,0.001
172,0.5917173624038696,,0.5917173624038696,0.00045926373170996514,0.45926373170996515,cosine,256,10,0.001
173,0.559884786605835,,0.559884786605835,0.00045455920686300854,0.45455920686300855,cosine,256,10,0.001
174,0.28530454635620117,,0.28530454635620117,0.0004498655797196586,0.44986557971965857,cosine,256,10,0.001
175,0.48727139830589294,,0.48727139830589294,0.00044518338621172973,0.4451833862117297,cosine,256,10,0.001
176,0.3781646192073822,,0.3781646192073822,0.00044051316096551117,0.4405131609655112,cosine,256,10,0.001
177,0.26587623357772827,,0.26587623357772827,0.00043585543724072173,0.43585543724072173,cosine,256,10,0.001
178,0.28726404905319214,,0.28726404905319214,0.0004312107468696206,0.4312107468696206,cosine,256,10,0.001
179,0.36645814776420593,,0.36645814776420593,0.0004265796201962815,0.4265796201962815,cosine,256,10,0.001
180,0.3091830909252167,0.6427786126732826,0.6427786126732826,0.00042196258601603546,0.4219625860160354,cosine,256,10,0.001
181,0.2659493684768677,,0.2659493684768677,0.00041736017151509306,0.4173601715150931,cosine,256,10,0.001
182,0.283510684967041,,0.283510684967041,0.0004127729022103478,0.4127729022103478,cosine,256,10,0.001
183,0.4895247220993042,,0.4895247220993042,0.0004082013018893708,0.40820130188937076,cosine,256,10,0.001
184,0.30007949471473694,,0.30007949471473694,0.0004036458925506039,0.4036458925506039,cosine,256,10,0.001
185,0.18047136068344116,,0.18047136068344116,0.0003991071943437561,0.3991071943437561,cosine,256,10,0.001
186,0.4043407142162323,,0.4043407142162323,0.0003945857255104116,0.3945857255104116,cosine,256,10,0.001
187,0.34428635239601135,,0.34428635239601135,0.00039008200232485514,0.3900820023248551,cosine,256,10,0.001
188,0.36376953125,,0.36376953125,0.00038559653903512224,0.38559653903512225,cosine,256,10,0.001
189,0.3273441791534424,,0.3273441791534424,0.0003811298478042817,0.3811298478042817,cosine,256,10,0.001
190,0.3387988805770874,0.6529679670929909,0.6529679670929909,0.00037668243865195415,0.37668243865195417,cosine,256,10,0.001
191,0.45049676299095154,,0.45049676299095154,0.00037225481939607766,0.37225481939607763,cosine,256,10,0.001
192,0.214569091796875,,0.214569091796875,0.0003678474955949228,0.3678474955949228,cosine,256,10,0.001
193,0.35787877440452576,,0.35787877440452576,0.0003634609704893671,0.3634609704893671,cosine,256,10,0.001
